country,game_title,publisher,storefront_url,url_source,validation_status
SG,Battle Through the Heavens M: Rise of the Young,Joy Star Games,https://play.google.com/store/apps/details?id=com.joystar.btthgp,ranking_export,official_storefront_confirmed
SG,Gangstar Mirage City,Level Infinite,https://apps.apple.com/ph/app/gangstar-mirage-city-online/id6472700792,verified_override,official_storefront_confirmed
SG,Yulgang W,Efun,https://apps.apple.com/id/app/yulgang-w/id6756002784,ranking_export,official_storefront_confirmed
SG,Don't cultivate immortality at midnight,Evolens Games,https://apps.apple.com/SG/app/id6752377341?l=en,ranking_export,official_storefront_confirmed
SG,RAN - Royal Academy Nations,Murphy John Ong,https://play.google.com/store/apps/details?id=com.ran.projectr,ranking_export,official_storefront_confirmed
SG,OneState RP: Role Play Online,ChillBase,https://apps.apple.com/ID/app/id1597760047?l=id,ranking_export,official_storefront_confirmed
SG,Pop Epoch: Civilization Tycoon,Nexwave Tech,https://apps.apple.com/us/app/pop-epoch-civilization-tycoon/id6754275296,ranking_export,official_storefront_confirmed
SG,Three Kingdoms: A View of the Sea,TBG,https://apps.apple.com/hk/app/%E4%B8%89%E5%9C%8B%E8%A7%80%E6%BB%84%E6%B5%B7/id6760700928,verified_override,official_storefront_confirmed
SG,Fierce Battle Girls: 3650 Consecutive Gacha Pulls,NEORIGIN,https://apps.apple.com/jp/app/%E7%86%B1%E6%88%A6%E5%B0%91%E5%A5%B3/id6476643375,verified_override,official_storefront_confirmed
SG,Arad: Idle RPG,Nexon,https://play.google.com/store/apps/details?id=com.nexon.dfidle,verified_override,official_storefront_confirmed
SG,"Happy Mahjong - Taiwan 16-tile Mahjong, Lami Mahjong, Wild Card Red Dragon, Slot Machine",Pangu Interactive,https://apps.apple.com/sg/app/%E6%AD%A1%E5%9B%8D%E9%BA%BB%E5%B0%87-%E5%8F%B0%E7%81%A316%E5%BC%B5-%E6%8B%89%E7%B1%B3%E9%BA%BB%E5%B0%87-%E7%99%BE%E6%90%AD%E7%B4%85%E4%B8%AD-%E8%80%81%E8%99%8E%E6%A9%9F/id6449351297,verified_override,official_storefront_confirmed
SG,Chinese Poker Zingplay,ZingPlay,https://play.google.com/store/apps/details?id=zps.game.pusoy.th,verified_override,official_storefront_confirmed
SG,Three Kingdoms: Throne War SEA,Wayelite Entertainment Tech,https://apps.apple.com/ph/app/three-kingdoms-throne-war-sea/id6758926859,ranking_export,official_storefront_confirmed
MY,Battle Through the Heavens M: Rise of the Young,Joy Star Games,https://play.google.com/store/apps/details?id=com.joystar.btthgp,ranking_export,official_storefront_confirmed
MY,Gangstar Mirage City,Level Infinite,https://apps.apple.com/ph/app/gangstar-mirage-city-online/id6472700792,verified_override,official_storefront_confirmed
MY,Yulgang W,Efun,https://apps.apple.com/id/app/yulgang-w/id6756002784,ranking_export,official_storefront_confirmed
MY,Don't cultivate immortality at midnight,Evolens Games,https://apps.apple.com/SG/app/id6752377341?l=en,ranking_export,official_storefront_confirmed
MY,RAN - Royal Academy Nations,Murphy John Ong,https://play.google.com/store/apps/details?id=com.ran.projectr,ranking_export,official_storefront_confirmed
MY,Wobbly Life,Curve Digital Games,https://apps.apple.com/SG/app/id6764310415?l=en,ranking_export,official_storefront_confirmed
MY,Last Shelter: War Z,LAST ORIGIN STUDIO,https://play.google.com/store/apps/details?hl=en&id=com.more.lastshelter.gp&gl=US,ranking_export,official_storefront_confirmed
MY,Pop Epoch: Civilization Tycoon,Nexwave Tech,https://apps.apple.com/us/app/pop-epoch-civilization-tycoon/id6754275296,ranking_export,official_storefront_confirmed
